col_name,value
BM13_6,7992
DE1_35,7992
BS12_45,7992
BH9_14_4_03,7992
BS12_35,7991
DC12_tp,7991
BH9_14_3_03,7990
BH9_14_4_02,7989
BO3_11,7988
HE_alt_etc,7988
EC_wht_6,7988
BD7_67,7987
HE_Uacid_etc,7987
HE_Folate_etc,7987
BS5_31,7975
M_2_et,7972
HE_NNAL_etc,7972
HE_PFThs,7969
HE_PFTtr,7969
HE_UNa_etc,7960
BM14_2,7940
BH9_14_3_02,7911
DC11_tp,7909
LQ4_24,7905
LW_mp_e,7883
BP2_2,7882
BH9_14_4_01,7877
Y_MTM_YN,7740
Y_FM_D1,7740
Y_SUP_KD7,7740
Y_SUP_KD3,7740
Y_SUP_KD1,7740
Y_SUP_YN,7740
Y_WN_ST,7740
Y_MLK_ST,7740
Y_FM_D2,7740
Y_BTH_WT,7740
Y_FM_S2,7740
Y_FM_S1,7740
Y_FM_YN,7740
Y_MTM_D2,7740
Y_MTM_D1,7740
Y_MTM_S2,7740
Y_MTM_S1,7740
Y_SUP_KD4,7740
age_month,7480
HE_Ukal_etc,7326
HE_hsCRP_etc,6966
HE_Ucot_etc,6691
HE_BMI_pct,6659
HE_wt_pct,6587
HE_VitE,5962
BH9_14_3_01,4583
sc_seatblt,4229
LW_oc,3805
LW_ms,3805
HE_sput1,3593
HE_PFTdr,3593
HE_cough1,3593
HE_HTG,2624
HE_DM,2129
HE_HCHOL,2112
mh_PHQ_S,2074
pa_aerobic,2030
HE_obe,1822
O_chew_d,1810
sm_presnt,1809
HE_HP,1792
occp,1782
sc_seatblt2,1546
HE_Unitr,1412
HE_Upro,1412
HE_Uglu,1412
HE_Uket,1412
HE_Ubil,1412
HE_Ubld,1412
HE_Uro,1412
HE_HCT,1381
HE_anem,1381
HE_hepaB,1370
HE_hepaC,1370
mh_stress,1329
dr_month,1328
GS_use,1191
HE_HPfh1,1147
HE_HLfh3,1147
HE_HPfh3,1147
HE_HLfh1,1147
HE_HLfh2,1147
HE_fh,1147
HE_DMfh1,1147
HE_HBfh1,1147
HE_HBfh3,1147
HE_DMfh2,1147
HE_DMfh3,1147
HE_THfh1,1147
HE_THfh2,1147
HE_THfh3,1147
HE_IHDfh1,1147
HE_HBfh2,1147
HE_HPfh2,1147
HE_STRfh3,1147
HE_STRfh2,1147
HE_STRfh1,1147
HE_IHDfh3,1147
HE_IHDfh2,1147
HE_rPLS,1145
HE_nARM,1145
L_DN,928
L_BR,928
N_NA,928
L_LN,928
LF_secur_y,926
LF_SAFE,923
L_DN_TO,923
LK_LB_US,923
LK_LB_CO,923
LK_EDU,923
LS_1YR,923
L_LN_WHO,923
L_BR_FQ,923
L_LN_FQ,923
L_DN_FQ,923
L_OUT_FQ,923
L_BR_TO,923
LK_LB_EF,923
LF_BUYER,923
L_DN_WHO,923
L_BR_WHO,923
L_LN_TO,923
LK_LB_IT,923
mt_nontrt,795
edu,625
ij_expr,610
HE_mens,610
DI4_dg,597
DI4_pr,597
DI4_pt,597
DM1_dg,597
DM1_pr,597
DM1_pt,597
BS3_1,352
BA2_12,352
BP7,352
BD7_66,352
BD7_65,352
BS1_1,352
BD7_64,352
BS5,352
BP6_2,352
BS5_1,352
BS5_5,352
BD7_63,352
BS5_21,352
BS5_28,352
BS5_26,352
BS5_33,352
BS5_34,352
BS5_32,352
BS5_29,352
BS5_30,352
BP6_31,352
BP_PHQ_1,352
BP6_10,352
BA2_13,352
BP_PHQ_3,352
BP_PHQ_4,352
BP_PHQ_5,352
BP_PHQ_6,352
BP_PHQ_7,352
BP_PHQ_8,352
BA1_2,352
BP_PHQ_9,352
BA1_1,352
BP1,352
BP2,352
BA2_22,352
BA2_2_5,352
BP5,352
BA2_2_3,352
BA2_2_1,352
BA1_5,352
BA1_3,352
BP_PHQ_2,352
BM1_0,352
BS12_33,352
BS8_2,352
BS9_2,352
MO4_9,352
MO4_4,352
MO4_00,352
OR1_2,352
BM8,352
BM7,352
BM13_5,352
BM13_4,352
BM13_3,352
BM13_2,352
BM13_1,352
BM13,352
BM2_5,352
BM2_4,352
BM2_2,352
BM2_3,352
BM2_1,352
BM1_8,352
BM1_7,352
BD7_61,352
BM1_6,352
BM1_5,352
BM1_4,352
BM1_3,352
BM1_2,352
MO4_7,352
MO4_8,352
MO4_17,352
BS12_43,352
BS13,352
BS12_1,352
BS12_2,352
BS12_31,352
BS12_32,352
BM1_1,352
BS12_37,352
BS12_34,352
BS12_36,352
BS12_41,352
BS12_42,352
BS12_47,352
MO4_11,352
BS12_44,352
BS12_46,352
BS10_1,352
BE3_71,352
BE5_1,352
BE9,352
BM14_1,352
BM14,352
MO4_15,352
MO4_18,352
MO4_12,352
BD7_62,352
BD2_31,352
BD7_5,352
DC5_pt,352
DC12_dg,352
DC11_pt,352
DC11_pr,352
DC11_dg,352
DC7_pt,352
DC7_pr,352
DC7_dg,352
DC6_pt,352
DC6_pr,352
DC6_dg,352
DC5_pr,352
DC1_pr,352
DC5_dg,352
DC4_pt,352
DC4_pr,352
DC4_dg,352
DC3_pt,352
DC3_pr,352
DC3_dg,352
DC2_pt,352
DC2_pr,352
DC2_dg,352
DC12_pr,352
DC12_pt,352
DF2_dg,352
DF2_pr,352
DH6_pr,352
DH6_dg,352
DH3_pt,352
DH3_pr,352
DH3_dg,352
DH2_pt,352
DH2_pr,352
DH2_dg,352
DH4_pt,352
DH4_pr,352
DH4_dg,352
DJ6_pt,352
DJ6_pr,352
BD7_4,352
DJ8_pt,352
DJ8_pr,352
DJ8_dg,352
DL1_pt,352
DL1_pr,352
DL1_dg,352
DF2_pt,352
DC1_pt,352
DC1_dg,352
DN1_dg,352
DI3_pr,352
DM2_pr,352
DM2_dg,352
DI6_pt,352
DI6_pr,352
DI6_dg,352
DI5_pt,352
DI5_pr,352
DI5_dg,352
DI3_2,352
DI3_pt,352
DI3_dg,352
DE2_pt,352
DI2_2,352
DI2_pt,352
DI2_pr,352
DI2_dg,352
DI1_2,352
DI1_pt,352
DI1_pr,352
DI1_dg,352
D_2_1,352
D_1_1,352
DM2_pt,352
DM3_dg,352
DM3_pr,352
DM3_pt,352
DE2_pr,352
DE2_dg,352
DE1_4,352
DE1_34,352
DE1_33,352
DE1_32,352
DE1_31,352
DE1_3,352
DE1_pt,352
DE1_pr,352
DE1_dg,352
DJ4_3,352
DJ4_pt,352
DJ4_pr,352
DJ4_dg,352
DJ2_pt,352
DJ2_pr,352
DJ2_dg,352
DM4_pt,352
DM4_pr,352
DM4_dg,352
DH6_pt,352
DJ6_dg,352
DN1_pr,352
LQ4_23,352
EC_stt_2,352
EC_stt_1,352
EC_occp,352
EC1_1,352
CH2_2,352
CH2_1,352
DN1_pt,352
educ,352
MO1_wk,352
MH1_yr,352
AC1_yr,352
LQ_5EQL,352
LQ_4EQL,352
LQ_3EQL,352
LQ_2EQL,352
LQ_1EQL,352
LQ2_ab,352
LQ1_sb,352
LQ4_20,352
LQ4_19,352
LQ4_18,352
EC_wht_0,352
EC_wht_5,352
EC_lgw_2,352
BO3_05,352
BD2_32,352
BD2_1,352
BD1_11,352
BD1,352
BO3_10,352
BO3_09,352
BO3_07,352
BO3_12,352
BO3_04,352
BO3_14,352
EC_lgw_4,352
BO3_03,352
BO3_02,352
BO3_01,352
BO2_1,352
BO1_3,352
BO1_2,352
BO1_1,352
BO1,352
EC_lgw_5,352
LQ4_17,352
graduat,352
LQ4_29,352
DK8_pt,352
LQ4_00,352
BH2_61,352
BH1,352
DK4_dg,352
M_2_rs,352
DK8_dg,352
DK8_pr,352
LQ4_28,352
DK9_dg,352
LQ4_02,352
DK9_pr,352
M_2_yr,352
DK9_pt,352
DJ9_yd,352
DN6_yd,352
DF1_yd,352
DI9_yd,352
DK4_pt,352
LQ4_01,352
BH9_11,352
LQ4_03,352
LQ4_04,352
LQ4_27,352
LQ4_26,352
LQ4_25,352
LQ4_22,352
LQ4_21,352
LQ4_16,352
LQ4_15,352
LQ4_14,352
LQ4_13,352
LQ4_12,352
LQ4_11,352
LQ4_10,352
DK4_pr,352
LQ4_09,352
LQ4_08,352
LQ4_07,352
LQ4_06,352
LQ4_05,352
T_NQ_OCP_P,345
T_NQ_FIR,345
T_NQ_FIR_P,345
T_NQ_OCP,345
T_NQ_PH,345
T_Q_VN1,345
T_Q_VN,345
T_Q_HR1,345
T_Q_HR,345
T_ex,345
T_NQ_LS,345
HE_HPdg,344
HE_prg,344
HE_DMdg,344
HE_HPdr,344
HE_DMdr,344
EC_pedu_2,307
EC_pedu_1,307
incm,24
